episode_index,repeat_index,position_in_cycle,dataset_index,original_task_id,is_specialist_task,selected_shared_path,selected_unshared_path,cumulative_shared_path_ratio,rolling_shared_path_ratio_last10,shared_branch_triggered,unshared_branch_triggered,shared_update_count,cumulative_shared_update_count,unshared_edge_update_count,cumulative_unshared_edge_update_count,selected_path,selected_shared_path_nodes,selected_unshared_path_nodes,raw_terminal_penalty,total_cost
0,0,0,1,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],False,True,False,1.0,1.0,True,False,5,5,4,4,"['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c01', 'stage3_n4__from__n0014__c01', 'stage4_n4__from__n0043__c02', 'stage5_n4__from__n0130__c01']","['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c01', 'stage3_n4__from__n0014__c01', 'stage4_n4__from__n0043__c02', 'stage5_n4__from__n0130__c01']",[],0.0,0.07674582660204632
1,0,1,3,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None],False,False,True,0.5,0.5,False,True,0,5,5,9,"['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c01', 'stage3_n4__from__n0014__c01', 'stage4_n2__from__n0043__c01', 'stage5_n3__from__n0129__c03']",[],"['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c01', 'stage3_n4__from__n0014__c01', 'stage4_n2__from__n0043__c01', 'stage5_n3__from__n0129__c03']",0.0,0.1187889068389876
2,0,2,6,[mms_issue]bad_wifi_calling[PERSONA:Easy],False,True,False,0.6666666666666666,0.6666666666666666,True,False,1,6,4,13,"['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n1__from__n0007__c01', 'stage4_n1__from__n0021__c01', 'stage5_n1__from__n0063__c01']","['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n1__from__n0007__c01', 'stage4_n1__from__n0021__c01', 'stage5_n1__from__n0063__c01']",[],0.0,0.15336900915455035
3,0,3,15,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy],False,False,True,0.5,0.5,False,True,0,6,5,18,"['stage1_n2__from__root__c02', 'stage2_n2__from__n0002__c01', 'stage3_n3__from__n0008__c02', 'stage4_n1__from__n0026__c01', 'stage5_n2__from__n0078__c02']",[],"['stage1_n2__from__root__c02', 'stage2_n2__from__n0002__c01', 'stage3_n3__from__n0008__c02', 'stage4_n1__from__n0026__c01', 'stage5_n2__from__n0078__c02']",0.0,0.14325538502961765
4,0,4,17,[mms_issue]bad_wifi_calling|break_app_sms_permission[PERSONA:None],False,True,False,0.6,0.6,True,False,2,8,4,22,"['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n2__from__n0007__c02', 'stage4_n3__from__n0022__c03', 'stage5_n4__from__n0068__c04']","['stage1_n1__from__root__c01', 'stage2_n4__from__n0001__c03', 'stage3_n2__from__n0007__c02', 'stage4_n3__from__n0022__c03', 'stage5_n4__from__n0068__c04']",[],0.0,0.13013166397415185
5,0,5,18,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_storage_permission[PERSONA:Hard],False,True,False,0.6666666666666666,0.6666666666666666,True,False,5,13,4,26,"['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c01', 'stage3_n4__from__n0014__c01', 'stage4_n4__from__n0043__c02', 'stage5_n4__from__n0130__c01']","['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c01', 'stage3_n4__from__n0014__c01', 'stage4_n4__from__n0043__c02', 'stage5_n4__from__n0130__c01']",[],0.0,0.0767891760904685
6,0,6,19,[mms_issue]bad_wifi_calling|break_app_sms_permission|data_mode_off[PERSONA:None],False,True,False,0.7142857142857143,0.7142857142857143,True,False,2,15,4,30,"['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c02', 'stage3_n4__from__n0009__c01', 'stage4_n4__from__n0028__c02', 'stage5_n4__from__n0085__c01']","['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c02', 'stage3_n4__from__n0009__c01', 'stage4_n4__from__n0028__c02', 'stage5_n4__from__n0085__c01']",[],0.0,0.0955988152934841
7,0,7,20,[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission[PERSONA:Easy],False,True,False,0.75,0.75,True,False,1,16,5,35,"['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02', 'stage3_n3__from__n0012__c02', 'stage4_n1__from__n0037__c01', 'stage5_n3__from__n0111__c03']","['stage1_n3__from__root__c03', 'stage2_n2__from__n0003__c02', 'stage3_n3__from__n0012__c02', 'stage4_n1__from__n0037__c01', 'stage5_n3__from__n0111__c03']",[],0.0,0.14947845988152936
8,0,8,21,[mms_issue]bad_wifi_calling|break_app_storage_permission|data_mode_off[PERSONA:Easy],False,True,False,0.7777777777777778,0.7777777777777778,True,False,2,18,4,39,"['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c02', 'stage3_n4__from__n0009__c01', 'stage4_n4__from__n0028__c02', 'stage5_n4__from__n0085__c01']","['stage1_n2__from__root__c02', 'stage2_n3__from__n0002__c02', 'stage3_n4__from__n0009__c01', 'stage4_n4__from__n0028__c02', 'stage5_n4__from__n0085__c01']",[],0.0,0.09629079159935379
9,0,9,22,[mms_issue]airplane_mode_on|bad_wifi_calling[PERSONA:Easy],False,True,False,0.8,0.8,True,False,5,23,5,44,"['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c01', 'stage3_n4__from__n0014__c01', 'stage4_n2__from__n0043__c01', 'stage5_n2__from__n0129__c02']","['stage1_n4__from__root__c04', 'stage2_n3__from__n0004__c01', 'stage3_n4__from__n0014__c01', 'stage4_n2__from__n0043__c01', 'stage5_n2__from__n0129__c02']",[],0.0,0.11231906300484652
