setting,setting_group,variant,depth,branching,risky_depth,safe_suffix_length,topology,sharing_scheme,tree_spec_cost_mode,method,method_label,trap_switch_denominator,trap_switch_episode,cyclic_switch_count,cyclic_switch_episodes,eta,eta_shared,gamma_shared,epsilon,common_eta_override,common_epsilon_override,direct_eta,direct_eta_override,shared_estimator_variant_actual,shared_denominator_mode_actual,policy_actual_params,seeds,horizon,num_paths,expected_full_num_paths,full_branching,regret_mean,regret_std,regret_per_t_mean,regret_per_t_std,average_cost_mean,overall_avg_total_cost_mean,overall_avg_total_cost_std,tail20_avg_total_cost_mean,tail20_avg_total_cost_std,post_switch_avg_regret_mean,post_switch_avg_regret_std,tail_window_avg_cost_mean,tail_window_avg_cost_std,tail_window_size,post_switch_start_episode,post_switch_episode_count,terminal_proxy_mean,cumulative_cost_mean,oracle_cumulative_cost_mean,exact_best_path_hit_rate_mean,trap_basin_fraction_mean,target_subtree_fraction_mean,target_good_fraction_mean,target_bad_fraction_mean,decoy_branch_fraction_mean,balancing_decoy_fraction_mean,calibrated_decoy_fraction_mean,candidate_corridor_fraction_mean,candidate_safe_subtree_fraction_mean,near_best_good_fraction_mean,near_best_family_fraction_mean,broad_safe_basin_fraction_mean,ordinary_safe_basin_fraction_mean,safe_basin_fraction_mean,ps_favored_exact_best_hit_rate_mean,first_episode_best_hit_rate_mean,shared_path_fraction_mean,shared_update_count_mean,risky_update_count_mean,final_cumulative_shared_update_count_mean,true_best_cost_mean,cost_noise,specialist_context_fraction
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,direct_multistage_exp3,direct_multistage_exp3,3,15,3,"[15, 30, 45]",0.2,,,0.0,0.2,,0.2,,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.0, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2}}",1,60,440,3125,False,25.34637695439969,0.0,0.4224396159066615,0.0,0.43333333333333335,0.43333333333333335,0.0,0.35,0.0,0.40843937239953276,0.0,0.35,0.0,20,16,45,0.43333333333333335,26.0,0.6536230456003096,0.0,0.016666666666666666,0.48333333333333334,0.35,0.13333333333333333,0.21666666666666667,0.16666666666666666,0.16666666666666666,0.48333333333333334,0.48333333333333334,0.35,0.35,0.5166666666666667,0.03333333333333333,0.5166666666666667,0.13333333333333333,0.0,0.9166666666666666,0.0,300.0,0.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,direct_multistage_exp3_local,direct_multistage_exp3_local,3,15,3,"[15, 30, 45]",0.2,,,0.0,0.2,,0.2,,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.0, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2}}",1,60,440,3125,False,29.34637695439969,0.0,0.48910628257332817,0.0,0.5,0.5,0.0,0.45,0.0,0.4528838168439772,0.0,0.45,0.0,20,16,45,0.5,30.0,0.6536230456003096,0.0,0.016666666666666666,0.43333333333333335,0.2833333333333333,0.15,0.25,0.13333333333333333,0.13333333333333333,0.43333333333333335,0.43333333333333335,0.2833333333333333,0.2833333333333333,0.5,0.06666666666666667,0.5,0.13333333333333333,0.0,0.9166666666666666,0.0,300.0,0.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,epsilon_exp3,epsilon_exp3,3,15,3,"[15, 30, 45]",0.2,,,0.01,0.2,0.01,0.2,,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,60,440,3125,False,39.34637695439969,0.0,0.6557729492399947,0.0,0.6666666666666666,0.6666666666666666,0.0,0.75,0.0,0.7417727057328662,0.0,0.75,0.0,20,16,45,0.6666666666666666,40.0,0.6536230456003096,0.03333333333333333,0.11666666666666667,0.2833333333333333,0.05,0.23333333333333334,0.21666666666666667,0.016666666666666666,0.016666666666666666,0.2833333333333333,0.2833333333333333,0.05,0.05,0.3333333333333333,0.05,0.3333333333333333,0.0,0.0,0.95,0.0,300.0,0.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,naive_mixed,naive_mixed,3,15,3,"[15, 30, 45]",,,,,,,,,,,"{'eta': None, 'eta_shared': None, 'gamma_shared': None, 'epsilon': None, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {}}",1,60,440,3125,False,0.3463769543996904,0.0,0.00577294923999484,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.008439372399532795,0.0,0.0,0.0,20,16,45,0.016666666666666666,1.0,0.6536230456003096,0.0,0.0,1.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0,1.0,1.0,0.7333333333333333,0.7333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,naive_mixed_avg,naive_mixed_avg,3,15,3,"[15, 30, 45]",,,,,,,,,,,"{'eta': None, 'eta_shared': None, 'gamma_shared': None, 'epsilon': None, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {}}",1,60,440,3125,False,0.3463769543996904,0.0,0.00577294923999484,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.008439372399532795,0.0,0.0,0.0,20,16,45,0.016666666666666666,1.0,0.6536230456003096,0.0,0.0,1.0,0.7333333333333333,0.26666666666666666,0.0,0.0,0.0,1.0,1.0,0.7333333333333333,0.7333333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,random_path,random_path,3,15,3,"[15, 30, 45]",,,,,,,,,,,"{'eta': None, 'eta_shared': None, 'gamma_shared': None, 'epsilon': None, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {}}",1,60,440,3125,False,43.34637695439969,0.0,0.7224396159066615,0.0,0.7333333333333333,0.7333333333333333,0.0,0.85,0.0,0.719550483510644,0.0,0.85,0.0,20,16,45,0.7333333333333333,44.0,0.6536230456003096,0.016666666666666666,0.1,0.2,0.06666666666666667,0.13333333333333333,0.2833333333333333,0.06666666666666667,0.06666666666666667,0.2,0.2,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.016666666666666666,0.0,0.9333333333333333,0.0,0.0,0.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,risky_ps,risky_ps,3,15,3,"[15, 30, 45]",0.2,0.05,,0.01,0.2,0.01,0.2,,path_importance_weighted,path_prob,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': 'path_importance_weighted', 'shared_denominator_mode': 'path_prob', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,60,440,3125,False,31.34637695439969,0.0,0.5224396159066615,0.0,0.5333333333333333,0.5333333333333333,0.0,0.6,0.0,0.5862171501773106,0.0,0.6,0.0,20,16,45,0.5333333333333333,32.0,0.6536230456003096,0.03333333333333333,0.1,0.18333333333333332,0.05,0.13333333333333333,0.38333333333333336,0.06666666666666667,0.06666666666666667,0.18333333333333332,0.18333333333333332,0.05,0.05,0.2833333333333333,0.1,0.2833333333333333,0.0,0.0,0.9333333333333333,241.0,208.0,241.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,risky_ps_direct_cost,risky_ps_direct_cost,3,15,3,"[15, 30, 45]",0.2,0.05,,0.01,0.2,0.01,0.2,,direct_cost,none_observed_cost,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': 'direct_cost', 'shared_denominator_mode': 'none_observed_cost', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,60,440,3125,False,31.34637695439969,0.0,0.5224396159066615,0.0,0.5333333333333333,0.5333333333333333,0.0,0.6,0.0,0.5862171501773106,0.0,0.6,0.0,20,16,45,0.5333333333333333,32.0,0.6536230456003096,0.016666666666666666,0.1,0.18333333333333332,0.03333333333333333,0.15,0.36666666666666664,0.05,0.05,0.18333333333333332,0.18333333333333332,0.03333333333333333,0.03333333333333333,0.2833333333333333,0.1,0.2833333333333333,0.0,0.0,0.9333333333333333,240.0,208.0,240.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,risky_ps_ix,risky_ps_ix,3,15,3,"[15, 30, 45]",0.2,0.05,0.005,0.01,0.2,0.01,0.2,,exp3_ix,path_prob_plus_gamma,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': 0.005, 'epsilon': 0.01, 'shared_estimator_variant': 'exp3_ix', 'shared_denominator_mode': 'path_prob_plus_gamma', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,60,440,3125,False,31.34637695439969,0.0,0.5224396159066615,0.0,0.5333333333333333,0.5333333333333333,0.0,0.6,0.0,0.5862171501773106,0.0,0.6,0.0,20,16,45,0.5333333333333333,32.0,0.6536230456003096,0.03333333333333333,0.1,0.18333333333333332,0.05,0.13333333333333333,0.38333333333333336,0.06666666666666667,0.06666666666666667,0.18333333333333332,0.18333333333333332,0.05,0.05,0.2833333333333333,0.1,0.2833333333333333,0.0,0.0,0.9333333333333333,241.0,208.0,241.0,0.010893717426671827,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v11_cyclic_baited,risky_ps_linear,risky_ps_linear,3,15,3,"[15, 30, 45]",0.2,0.05,,0.01,0.2,0.01,0.2,,,,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,60,440,3125,False,32.34637695439969,0.0,0.5391062825733282,0.0,0.55,0.55,0.0,0.65,0.0,0.6084393723995328,0.0,0.65,0.0,20,16,45,0.55,33.0,0.6536230456003096,0.03333333333333333,0.1,0.18333333333333332,0.06666666666666667,0.11666666666666667,0.36666666666666664,0.05,0.05,0.18333333333333332,0.18333333333333332,0.06666666666666667,0.06666666666666667,0.2833333333333333,0.1,0.2833333333333333,0.0,0.0,0.9333333333333333,237.0,208.0,237.0,0.010893717426671827,0.02,0.15
