setting,setting_group,variant,depth,branching,risky_depth,safe_suffix_length,topology,sharing_scheme,tree_spec_cost_mode,method,method_label,trap_switch_denominator,trap_switch_episode,cyclic_switch_count,cyclic_switch_episodes,eta,eta_shared,gamma_shared,epsilon,common_eta_override,common_epsilon_override,direct_eta,direct_eta_override,shared_estimator_variant_actual,shared_denominator_mode_actual,policy_actual_params,seeds,horizon,num_paths,expected_full_num_paths,full_branching,regret_mean,regret_std,regret_per_t_mean,regret_per_t_std,average_cost_mean,overall_avg_total_cost_mean,overall_avg_total_cost_std,tail20_avg_total_cost_mean,tail20_avg_total_cost_std,post_switch_avg_regret_mean,post_switch_avg_regret_std,tail_window_avg_cost_mean,tail_window_avg_cost_std,tail_window_size,post_switch_start_episode,post_switch_episode_count,terminal_proxy_mean,cumulative_cost_mean,oracle_cumulative_cost_mean,exact_best_path_hit_rate_mean,trap_basin_fraction_mean,target_subtree_fraction_mean,target_good_fraction_mean,target_bad_fraction_mean,decoy_branch_fraction_mean,balancing_decoy_fraction_mean,calibrated_decoy_fraction_mean,candidate_corridor_fraction_mean,candidate_safe_subtree_fraction_mean,near_best_good_fraction_mean,near_best_family_fraction_mean,broad_safe_basin_fraction_mean,ordinary_safe_basin_fraction_mean,safe_basin_fraction_mean,ps_favored_exact_best_hit_rate_mean,first_episode_best_hit_rate_mean,shared_path_fraction_mean,shared_update_count_mean,risky_update_count_mean,final_cumulative_shared_update_count_mean,true_best_cost_mean,cost_noise,specialist_context_fraction
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,direct_multistage_exp3,direct_multistage_exp3,7,11,,[],0.2,,,0.0,0.2,,0.2,,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.0, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2}}",1,80,440,3125,False,14.609689447432817,0.0,0.1826211180929102,0.0,0.2,0.2,0.0,0.1,0.0,0.13492753623188405,0.0,0.1,0.0,20,12,69,0.2,16.0,1.390310552567182,0.05,0.025,0.3125,0.125,0.1875,0.3,0.2125,0.2125,0.3125,0.3125,0.125,0.125,0.3875,0.075,0.3875,0.05,0.0,0.9375,0.0,400.0,0.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,direct_multistage_exp3_local,direct_multistage_exp3_local,7,11,,[],0.2,,,0.0,0.2,,0.2,,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.0, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2}}",1,80,440,3125,False,20.609689447432817,0.0,0.2576211180929102,0.0,0.275,0.275,0.0,0.25,0.0,0.2073913043478261,0.0,0.25,0.0,20,12,69,0.275,22.0,1.390310552567182,0.025,0.0625,0.2125,0.1125,0.1,0.3125,0.0625,0.0625,0.2125,0.2125,0.1125,0.1125,0.2375,0.025,0.2375,0.025,0.0,0.9125,0.0,400.0,0.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,epsilon_exp3,epsilon_exp3,7,11,,[],0.2,,,0.01,0.2,0.01,0.2,,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,80,440,3125,False,8.609689447432817,0.0,0.10762111809291022,0.0,0.125,0.125,0.0,0.05,0.0,0.10594202898550724,0.0,0.05,0.0,20,12,69,0.125,10.0,1.390310552567182,0.0,0.05,0.325,0.0875,0.2375,0.35,0.075,0.075,0.325,0.325,0.0875,0.0875,0.4,0.075,0.4,0.0,0.0,0.95,0.0,400.0,0.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,naive_mixed,naive_mixed,7,11,,[],,,,,,,,,,,"{'eta': None, 'eta_shared': None, 'gamma_shared': None, 'epsilon': None, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {}}",1,80,440,3125,False,-0.39031055256718195,0.0,-0.004878881907089775,0.0,0.0125,0.0125,0.0,0.0,0.0,0.004492753623188406,0.0,0.0,0.0,20,12,69,0.0125,1.0,1.390310552567182,0.0,0.0,1.0,0.85,0.15,0.0,0.0,0.0,1.0,1.0,0.85,0.85,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,naive_mixed_avg,naive_mixed_avg,7,11,,[],,,,,,,,,,,"{'eta': None, 'eta_shared': None, 'gamma_shared': None, 'epsilon': None, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {}}",1,80,440,3125,False,-0.39031055256718195,0.0,-0.004878881907089775,0.0,0.0125,0.0125,0.0,0.0,0.0,0.004492753623188406,0.0,0.0,0.0,20,12,69,0.0125,1.0,1.390310552567182,0.0,0.0,1.0,0.85,0.15,0.0,0.0,0.0,1.0,1.0,0.85,0.85,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,random_path,random_path,7,11,,[],,,,,,,,,,,"{'eta': None, 'eta_shared': None, 'gamma_shared': None, 'epsilon': None, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {}}",1,80,440,3125,False,23.609689447432817,0.0,0.2951211180929102,0.0,0.3125,0.3125,0.0,0.35,0.0,0.2508695652173913,0.0,0.35,0.0,20,12,69,0.3125,25.0,1.390310552567182,0.0125,0.1,0.225,0.05,0.175,0.2875,0.05,0.05,0.225,0.225,0.05,0.05,0.3,0.075,0.3,0.0125,0.0,0.925,0.0,0.0,0.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,risky_ps,risky_ps,7,11,,[],0.2,0.05,,0.01,0.2,0.01,0.2,,path_importance_weighted,path_prob,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': 'path_importance_weighted', 'shared_denominator_mode': 'path_prob', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,80,440,3125,False,14.609689447432817,0.0,0.1826211180929102,0.0,0.2,0.2,0.0,0.15,0.0,0.13492753623188405,0.0,0.15,0.0,20,12,69,0.2,16.0,1.390310552567182,0.025,0.0375,0.225,0.125,0.1,0.4,0.1625,0.1625,0.225,0.225,0.125,0.125,0.2625,0.0375,0.2625,0.025,0.0,0.9125,317.0,270.0,317.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,risky_ps_direct_cost,risky_ps_direct_cost,7,11,,[],0.2,0.05,,0.01,0.2,0.01,0.2,,direct_cost,none_observed_cost,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': 'direct_cost', 'shared_denominator_mode': 'none_observed_cost', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,80,440,3125,False,13.609689447432817,0.0,0.17012111809291022,0.0,0.1875,0.1875,0.0,0.1,0.0,0.12043478260869565,0.0,0.1,0.0,20,12,69,0.1875,15.0,1.390310552567182,0.0125,0.0375,0.225,0.1125,0.1125,0.4,0.1625,0.1625,0.225,0.225,0.1125,0.1125,0.2625,0.0375,0.2625,0.0125,0.0,0.9125,317.0,270.0,317.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,risky_ps_ix,risky_ps_ix,7,11,,[],0.2,0.05,0.005,0.01,0.2,0.01,0.2,,exp3_ix,path_prob_plus_gamma,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': 0.005, 'epsilon': 0.01, 'shared_estimator_variant': 'exp3_ix', 'shared_denominator_mode': 'path_prob_plus_gamma', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,80,440,3125,False,14.609689447432817,0.0,0.1826211180929102,0.0,0.2,0.2,0.0,0.15,0.0,0.13492753623188405,0.0,0.15,0.0,20,12,69,0.2,16.0,1.390310552567182,0.025,0.0375,0.225,0.125,0.1,0.4,0.1625,0.1625,0.225,0.225,0.125,0.125,0.2625,0.0375,0.2625,0.025,0.0,0.9125,317.0,270.0,317.0,0.017378881907089774,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,risky_ps_linear,risky_ps_linear,7,11,,[],0.2,0.05,,0.01,0.2,0.01,0.2,,,,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",1,80,440,3125,False,14.609689447432817,0.0,0.1826211180929102,0.0,0.2,0.2,0.0,0.15,0.0,0.13492753623188405,0.0,0.15,0.0,20,12,69,0.2,16.0,1.390310552567182,0.025,0.0375,0.225,0.125,0.1,0.4,0.1625,0.1625,0.225,0.225,0.125,0.125,0.2625,0.0375,0.2625,0.025,0.0,0.9125,317.0,270.0,317.0,0.017378881907089774,0.02,0.15
