setting,setting_group,variant,depth,branching,risky_depth,safe_suffix_length,topology,sharing_scheme,tree_spec_cost_mode,trap_switch_denominator,trap_switch_episode,cyclic_switch_count,cyclic_switch_episodes,seed,method,method_label,eta,eta_shared,gamma_shared,epsilon,shared_estimator_variant_actual,shared_denominator_mode_actual,policy_actual_params,direct_eta,common_eta_override,common_epsilon_override,direct_eta_override,horizon,cumulative_cost,oracle_cumulative_cost,regret,regret_per_t,average_cost,overall_avg_total_cost,tail20_avg_total_cost,post_switch_avg_regret,tail_window_avg_cost,tail_window_size,post_switch_start_episode,post_switch_episode_count,exact_best_path_hit_rate,trap_basin_fraction,target_subtree_fraction,target_good_fraction,target_bad_fraction,decoy_branch_fraction,balancing_decoy_fraction,calibrated_decoy_fraction,candidate_corridor_fraction,candidate_safe_subtree_fraction,near_best_good_fraction,near_best_family_fraction,broad_safe_basin_fraction,ordinary_safe_basin_fraction,safe_basin_fraction,ps_favored_exact_best_hit_rate,first_episode_best_hit,first_selected_path,shared_path_fraction,shared_update_count,risky_update_count,final_cumulative_shared_update_count,shared_estimator_variant,shared_denominator_mode,shared_leaf_global_prob_mean,shared_leaf_global_prob_min,shared_leaf_global_prob_max,shared_leaf_conditional_prob_mean,shared_leaf_conditional_prob_min,shared_leaf_conditional_prob_max,shared_leaf_estimated_loss_mean,shared_leaf_estimated_loss_max,shared_leaf_observed_loss_mean,shared_leaf_observed_loss_max,safe_subtree_root_counts,true_best_leaf,true_best_cost,oracle_family_label,oracle_latent_roles,num_paths,expected_full_num_paths,full_branching,cost_noise,specialist_context_fraction
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,risky_ps_safe_conditional,risky_ps_safe_conditional,0.2,0.05,,0.01,safe_conditional,safe_subtree_conditional_prob,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': 'safe_conditional', 'shared_denominator_mode': 'safe_subtree_conditional_prob', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",0.2,0.2,0.01,,80,15.0,1.390310552567182,13.609689447432817,0.17012111809291022,0.1875,0.1875,0.1,0.12043478260869565,0.1,20,12,69,0.0125,0.0375,0.225,0.1125,0.1125,0.4,0.1625,0.1625,0.225,0.225,0.1125,0.1125,0.2625,0.0375,0.2625,0.0125,0,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']",0.9125,317,270,317,safe_conditional,safe_subtree_conditional_prob,0.01693718565697432,0.00011798967367186462,0.07285016839680516,0.24613005924429524,0.0004237242884519069,0.5,37.82526764480869,2355.9532428204507,0.0,,"{'stage1_n4__from__root__c04/stage2_n2__from__n0004__c02/stage3_n3__from__n0016__c02': 1, 'stage1_n3__from__root__c03/stage2_n2__from__n0003__c02/stage3_n5__from__n0013__c04/stage4_n3__from__n0046__c02': 1, 'stage1_n5__from__root__c05/stage2_n3__from__n0005__c01/stage3_n5__from__n0020__c03/stage4_n3__from__n0067__c02': 1, '': 6, 'stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n3__from__n0010__c02': 3, 'stage1_n5__from__root__c05/stage2_n5__from__n0005__c03/stage3_n5__from__n0022__c03/stage4_n3__from__n0073__c02': 1, 'stage1_n2__from__root__c02/stage2_n1__from__n0002__c01': 2, 'stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n4__from__n0014__c02/stage4_n3__from__n0048__c02': 5, 'stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n3__from__n0007__c02': 2, 'stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n3__from__n0014__c01': 6, 'stage1_n4__from__root__c04/stage2_n5__from__n0004__c05/stage3_n3__from__n0019__c01': 1, 'stage1_n1__from__root__c01/stage2_n3__from__n0001__c03/stage3_n3__from__n0008__c01': 7, 'stage1_n1__from__root__c01/stage2_n1__from__n0001__c01': 2, 'stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n5__from__n0014__c03/stage4_n2__from__n0049__c01': 1, 'stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n5__from__n0007__c04/stage4_n3__from__n0028__c02': 1, 'stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n4__from__n0014__c02/stage4_n2__from__n0048__c01': 2, 'stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n4__from__n0007__c03/stage4_n3__from__n0027__c02': 1, 'stage1_n3__from__root__c03/stage2_n1__from__n0003__c01': 14, 'stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n5__from__n0010__c04/stage4_n2__from__n0037__c01': 1, 'stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n2__from__n0010__c01': 3, 'stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n4__from__n0010__c03/stage4_n3__from__n0036__c02': 2, 'stage1_n5__from__root__c05/stage2_n3__from__n0005__c01/stage3_n3__from__n0020__c01': 2, 'stage1_n5__from__root__c05/stage2_n3__from__n0005__c01/stage3_n4__from__n0020__c02/stage4_n2__from__n0066__c01': 1, 'stage1_n1__from__root__c01/stage2_n3__from__n0001__c03/stage3_n5__from__n0008__c03/stage4_n2__from__n0031__c01': 1, 'stage1_n4__from__root__c04/stage2_n3__from__n0004__c03/stage3_n5__from__n0017__c03/stage4_n2__from__n0058__c01': 1, 'stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n3__from__n0021__c01': 2, 'stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n5__from__n0021__c03/stage4_n2__from__n0070__c01': 1, 'stage1_n1__from__root__c01/stage2_n3__from__n0001__c03/stage3_n4__from__n0008__c02/stage4_n2__from__n0030__c01': 1, 'stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n4__from__n0021__c02/stage4_n2__from__n0069__c01': 1}","['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,risky_ps_ix,risky_ps_ix,0.2,0.05,0.005,0.01,exp3_ix,path_prob_plus_gamma,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': 0.005, 'epsilon': 0.01, 'shared_estimator_variant': 'exp3_ix', 'shared_denominator_mode': 'path_prob_plus_gamma', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",0.2,0.2,0.01,,80,16.0,1.390310552567182,14.609689447432817,0.1826211180929102,0.2,0.2,0.15,0.13492753623188405,0.15,20,12,69,0.025,0.0375,0.225,0.125,0.1,0.4,0.1625,0.1625,0.225,0.225,0.125,0.125,0.2625,0.0375,0.2625,0.025,0,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']",0.9125,317,270,317,exp3_ix,,0.0,,,0.0,,,19.816662243856623,184.35026144849948,0.0,,{},"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,risky_ps_old,risky_ps_old,0.2,0.2,,0.01,path_importance_weighted,path_prob,"{'eta': 0.2, 'eta_shared': 0.2, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': 'path_importance_weighted', 'shared_denominator_mode': 'path_prob', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",0.2,0.2,0.01,,80,16.0,1.390310552567182,14.609689447432817,0.1826211180929102,0.2,0.2,0.15,0.13492753623188405,0.15,20,12,69,0.025,0.0375,0.225,0.125,0.1,0.4,0.1625,0.1625,0.225,0.225,0.125,0.125,0.2625,0.0375,0.2625,0.025,0,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']",0.9125,317,270,317,,,0.0,,,0.0,,,84.5732518054014,2355.9532428204507,0.0,,{},"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,risky_ps_linear,risky_ps_linear,0.2,0.05,,0.01,,,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",0.2,0.2,0.01,,80,16.0,1.390310552567182,14.609689447432817,0.1826211180929102,0.2,0.2,0.15,0.13492753623188405,0.15,20,12,69,0.025,0.0375,0.225,0.125,0.1,0.4,0.1625,0.1625,0.225,0.225,0.125,0.125,0.2625,0.0375,0.2625,0.025,0,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']",0.9125,317,270,317,,,0.0,,,0.0,,,84.59092533988616,2355.9532428204507,0.0,,{},"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,risky_ps,risky_ps,0.2,0.05,,0.01,path_importance_weighted,path_prob,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': 'path_importance_weighted', 'shared_denominator_mode': 'path_prob', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",0.2,0.2,0.01,,80,16.0,1.390310552567182,14.609689447432817,0.1826211180929102,0.2,0.2,0.15,0.13492753623188405,0.15,20,12,69,0.025,0.0375,0.225,0.125,0.1,0.4,0.1625,0.1625,0.225,0.225,0.125,0.125,0.2625,0.0375,0.2625,0.025,0,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']",0.9125,317,270,317,,,0.0,,,0.0,,,84.67378423926327,2355.9532428204507,0.0,,{},"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,risky_ps_direct_cost,risky_ps_direct_cost,0.2,0.05,,0.01,direct_cost,none_observed_cost,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': 'direct_cost', 'shared_denominator_mode': 'none_observed_cost', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",0.2,0.2,0.01,,80,15.0,1.390310552567182,13.609689447432817,0.17012111809291022,0.1875,0.1875,0.1,0.12043478260869565,0.1,20,12,69,0.0125,0.0375,0.225,0.1125,0.1125,0.4,0.1625,0.1625,0.225,0.225,0.1125,0.1125,0.2625,0.0375,0.2625,0.0125,0,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']",0.9125,317,270,317,direct_cost,none_observed_cost,0.01704749980098403,0.00011798967367186462,0.07285016839680516,0.0,,,0.1917808219178082,1.0,0.1917808219178082,1.0,{},"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,risky_ps_safe_conditional_ix,risky_ps_safe_conditional_ix,0.2,0.05,0.0005,0.01,safe_conditional_ix,safe_subtree_conditional_prob_plus_gamma,"{'eta': 0.2, 'eta_shared': 0.05, 'gamma_shared': 0.0005, 'epsilon': 0.01, 'shared_estimator_variant': 'safe_conditional_ix', 'shared_denominator_mode': 'safe_subtree_conditional_prob_plus_gamma', 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",0.2,0.2,0.01,,80,15.0,1.390310552567182,13.609689447432817,0.17012111809291022,0.1875,0.1875,0.1,0.12043478260869565,0.1,20,12,69,0.0125,0.0375,0.225,0.1125,0.1125,0.4,0.1625,0.1625,0.225,0.225,0.1125,0.1125,0.2625,0.0375,0.2625,0.0125,0,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n3__from__n0053__c02', 'stage5_n2__from__n0147__c02']",0.9125,317,270,317,safe_conditional_ix,safe_subtree_conditional_prob_plus_gamma,0.016937467246029052,0.00011798967367186462,0.07285016839680516,0.24613128748062543,0.0004237242884519069,0.5,19.648559656125357,1081.716497624748,0.0,,"{'stage1_n4__from__root__c04/stage2_n2__from__n0004__c02/stage3_n3__from__n0016__c02': 1, 'stage1_n3__from__root__c03/stage2_n2__from__n0003__c02/stage3_n5__from__n0013__c04/stage4_n3__from__n0046__c02': 1, 'stage1_n5__from__root__c05/stage2_n3__from__n0005__c01/stage3_n5__from__n0020__c03/stage4_n3__from__n0067__c02': 1, '': 6, 'stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n3__from__n0010__c02': 3, 'stage1_n5__from__root__c05/stage2_n5__from__n0005__c03/stage3_n5__from__n0022__c03/stage4_n3__from__n0073__c02': 1, 'stage1_n2__from__root__c02/stage2_n1__from__n0002__c01': 2, 'stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n4__from__n0014__c02/stage4_n3__from__n0048__c02': 5, 'stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n3__from__n0007__c02': 2, 'stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n3__from__n0014__c01': 6, 'stage1_n4__from__root__c04/stage2_n5__from__n0004__c05/stage3_n3__from__n0019__c01': 1, 'stage1_n1__from__root__c01/stage2_n3__from__n0001__c03/stage3_n3__from__n0008__c01': 7, 'stage1_n1__from__root__c01/stage2_n1__from__n0001__c01': 2, 'stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n5__from__n0014__c03/stage4_n2__from__n0049__c01': 1, 'stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n5__from__n0007__c04/stage4_n3__from__n0028__c02': 1, 'stage1_n3__from__root__c03/stage2_n3__from__n0003__c03/stage3_n4__from__n0014__c02/stage4_n2__from__n0048__c01': 2, 'stage1_n1__from__root__c01/stage2_n2__from__n0001__c02/stage3_n4__from__n0007__c03/stage4_n3__from__n0027__c02': 1, 'stage1_n3__from__root__c03/stage2_n1__from__n0003__c01': 14, 'stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n5__from__n0010__c04/stage4_n2__from__n0037__c01': 1, 'stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n2__from__n0010__c01': 3, 'stage1_n2__from__root__c02/stage2_n2__from__n0002__c02/stage3_n4__from__n0010__c03/stage4_n3__from__n0036__c02': 2, 'stage1_n5__from__root__c05/stage2_n3__from__n0005__c01/stage3_n3__from__n0020__c01': 2, 'stage1_n5__from__root__c05/stage2_n3__from__n0005__c01/stage3_n4__from__n0020__c02/stage4_n2__from__n0066__c01': 1, 'stage1_n1__from__root__c01/stage2_n3__from__n0001__c03/stage3_n5__from__n0008__c03/stage4_n2__from__n0031__c01': 1, 'stage1_n4__from__root__c04/stage2_n3__from__n0004__c03/stage3_n5__from__n0017__c03/stage4_n2__from__n0058__c01': 1, 'stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n3__from__n0021__c01': 2, 'stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n5__from__n0021__c03/stage4_n2__from__n0070__c01': 1, 'stage1_n1__from__root__c01/stage2_n3__from__n0001__c03/stage3_n4__from__n0008__c02/stage4_n2__from__n0030__c01': 1, 'stage1_n5__from__root__c05/stage2_n4__from__n0005__c02/stage3_n4__from__n0021__c02/stage4_n2__from__n0069__c01': 1}","['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,direct_multistage_exp3,direct_multistage_exp3,0.2,,,0.0,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.0, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2}}",0.2,0.2,,,80,16.0,1.390310552567182,14.609689447432817,0.1826211180929102,0.2,0.2,0.1,0.13492753623188405,0.1,20,12,69,0.05,0.025,0.3125,0.125,0.1875,0.3,0.2125,0.2125,0.3125,0.3125,0.125,0.125,0.3875,0.075,0.3875,0.05,0,"['stage1_n5__from__root__c05', 'stage2_n5__from__n0005__c03', 'stage3_n4__from__n0022__c02', 'stage4_n3__from__n0072__c02', 'stage5_n3__from__n0209__c03']",0.9375,0,400,0,,,0.0,,,0.0,,,0.0,,0.0,,{},"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,direct_multistage_exp3_local,direct_multistage_exp3_local,0.2,,,0.0,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.0, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2}}",0.2,0.2,,,80,22.0,1.390310552567182,20.609689447432817,0.2576211180929102,0.275,0.275,0.25,0.2073913043478261,0.25,20,12,69,0.025,0.0625,0.2125,0.1125,0.1,0.3125,0.0625,0.0625,0.2125,0.2125,0.1125,0.1125,0.2375,0.025,0.2375,0.025,0,"['stage1_n5__from__root__c05', 'stage2_n5__from__n0005__c03', 'stage3_n4__from__n0022__c02', 'stage4_n3__from__n0072__c02', 'stage5_n3__from__n0209__c03']",0.9125,0,400,0,,,0.0,,,0.0,,,0.0,,0.0,,{},"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
shared_basin_strong_4of5_prefix_dedup,external_tree,shared_basin_strong_4of5_prefix_dedup,5,5,,,external_tree_spec,external_tree_spec,ps_favored_trap_v12_gap_compressed_baited,7,11,,[],0,epsilon_exp3,epsilon_exp3,0.2,,,0.01,,,"{'eta': 0.2, 'eta_shared': None, 'gamma_shared': None, 'epsilon': 0.01, 'shared_estimator_variant': None, 'shared_denominator_mode': None, 'policy_kwargs': {'eta': 0.2, 'epsilon': 0.01}}",0.2,0.2,0.01,,80,10.0,1.390310552567182,8.609689447432817,0.10762111809291022,0.125,0.125,0.05,0.10594202898550724,0.05,20,12,69,0.0,0.05,0.325,0.0875,0.2375,0.35,0.075,0.075,0.325,0.325,0.0875,0.0875,0.4,0.075,0.4,0.0,0,"['stage1_n4__from__root__c04', 'stage2_n2__from__n0004__c02', 'stage3_n3__from__n0016__c02', 'stage4_n2__from__n0053__c01', 'stage5_n2__from__n0146__c02']",0.95,0,400,0,,,0.0,,,0.0,,,0.0,,0.0,,{},"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",0.017378881907089774,ps_favored_v12_exact_best_post_switch_gap_compressed,"['stage1_n3__from__root__c03', 'stage2_n1__from__n0003__c01', 'stage3_n2__from__n0012__c02', 'stage4_n1__from__n0042__c01', 'stage5_n1__from__n0121__c01']",440,3125,False,0.02,0.15
